id;start_date;end_date;language
1;2020-11-25T12:43:01;2020-11-25T10:33:16;SPANISH
2;2020-11-24T17:33:12;2020-11-25T12:37:37;SPANISH
3;2020-11-25T08:28:31;2020-11-24T19:02:40;FRENCH
4;2020-11-24T23:46:02;2020-11-25T11:17:28;FRENCH
5;2020-11-25T09:16:20;2020-11-25T14:03:19;FRENCH
6;2020-11-25T03:08:41;2020-11-25T15:16:55;FRENCH
7;2020-11-25T04:54:01;2020-11-24T22:44:52;FRENCH
8;2020-11-25T03:50:14;2020-11-25T14:06:22;SPANISH
9;2020-11-25T02:31:23;2020-11-24T23:12:46;SPANISH
10;2020-11-25T10:43:27;2020-11-24T21:17:57;SPANISH
